SR. No,Ward No,Serial no.,Tree Name,Scientific Name,Latitude,Longitude,Girth (Inch),Height (Ft),Age (Years),Canopy (sq. mtr),Condition,Landmark,Concern Person,Remark
38,4,W41709516799899-akK0O,Fig Tree,Ficus carica,19.30466405,76.49576996,62,35,5_10,28,Good,Ward 4,Pravin More,Good
39,4,W41709516802058-akK0O,Fig Tree,Ficus carica,19.30467101,76.49573375,62,35,5_10,28,Good,Ward 4,Pravin More,Good
40,4,W41709516837222-akK0O,Palm tree,Arecaceae,19.30466753,76.49570491,53,30,5_10,24,Good,Ward 4,Pravin More,Good
41,4,W41709516861206-WEd1a,Burflower-tree,Neolamarckia cadamba,19.30452735,76.4951802,47,27,5_10,21,Good,Ward 4,Pravin More,Good
42,4,W41709516861944-WEd1a,Burflower-tree,Neolamarckia cadamba,19.30453495,76.49514601,48,27,5_10,22,Good,Ward 4,Pravin More,Good
43,4,W41709516865417-WEd1a,Burflower-tree,Neolamarckia cadamba,19.30453527,76.49511214,41,23,5_10,18,Good,Ward 4,Pravin More,Good
44,4,W41709516871156-akK0O,Coconut Tree,Cocos nucifera,19.30450172,76.49559963,49,28,5_10,22,Good,Ward 4,Pravin More,Good
45,4,W41709516876963-akK0O,Coconut Tree,Cocos nucifera,19.30452641,76.49555571,51,29,5_10,23,Good,Ward 4,Pravin More,Good
46,4,W41709516882754-akK0O,Coconut Tree,Cocos nucifera,19.30451501,76.49549235,58,33,5_10,26,Good,Ward 4,Pravin More,Good
47,4,W41709516890113-akK0O,Coconut Tree,Cocos nucifera,19.30451407,76.49543334,59,34,5_10,26,Good,Ward 4,Pravin More,Good
48,4,W41709516898090-akK0O,Coconut Tree,Cocos nucifera,19.30451881,76.49533477,50,29,5_10,22,Good,Ward 4,Pravin More,Good
49,4,W41709516898940-WEd1a,Gulmohar Tree,Delonix regia,19.30454634,76.49508767,58,33,10_50,26,Good,Ward 4,Pravin More,Good
50,4,W41709516906382-WEd1a,Gulmohar Tree,Delonix regia,19.30452799,76.49523351,65,37,10_50,29,Good,Ward 4,Pravin More,Good
51,4,W41709516907146-WEd1a,Gulmohar Tree,Delonix regia,19.30452419,76.4952191,62,35,10_50,28,Good,Ward 4,Pravin More,Good
52,4,W41709516923444-WEd1a,Neem Tree,Azadirachta indica,19.30454761,76.49506252,65,37,10_50,29,Good,Ward 4,Pravin More,Good
53,4,W41709516937330-akK0O,Coconut Tree,Cocos nucifera,19.30452071,76.49530325,58,33,5_10,26,Good,Ward 4,Pravin More,Good
54,4,W41709516939314-akK0O,Coconut Tree,Cocos nucifera,19.30452672,76.49527106,52,30,5_10,23,Good,Ward 4,Pravin More,Good
55,4,W41709516943122-akK0O,Coconut Tree,Cocos nucifera,19.30452609,76.49523888,49,28,5_10,22,Good,Ward 4,Pravin More,Good
56,4,W41709516945125-akK0O,Coconut Tree,Cocos nucifera,19.30453558,76.49520703,45,26,5_10,20,Good,Ward 4,Pravin More,Good
57,4,W41709516946710-WEd1a,Neem Tree,Azadirachta indica,19.30476088,76.49501324,72,41,10_50,32,Good,Ward 4,Pravin More,Good
58,4,W41709516957927-WEd1a,Gulmohar Tree,Delonix regia,19.30459412,76.4949958,52,30,10_50,23,Good,Ward 4,Pravin More,Good
59,4,W41709516958663-WEd1a,Gulmohar Tree,Delonix regia,19.30461627,76.4949958,65,37,10_50,29,Good,Ward 4,Pravin More,Good
60,4,W41709516967481-WEd1a,Gulmohar Tree,Delonix regia,19.30456754,76.49498876,62,35,10_50,28,Good,Ward 4,Pravin More,Good
61,4,W41709516978308-WEd1a,Burflower-tree,Neolamarckia cadamba,19.30463462,76.49500217,62,35,10_50,28,Good,Ward 4,Pravin More,Good
62,4,W41709516979180-WEd1a,Burflower-tree,Neolamarckia cadamba,19.30465772,76.49500351,53,30,10_50,24,Good,Ward 4,Pravin More,Good
63,4,W41709516989972-WEd1a,Burflower-tree,Neolamarckia cadamba,19.30468177,76.49500251,47,27,10_50,21,Good,Ward 4,Pravin More,Good
64,4,W41709516990946-WEd1a,Burflower-tree,Neolamarckia cadamba,19.30470708,76.49499983,48,27,10_50,22,Good,Ward 4,Pravin More,Good
65,4,W41709517033050-WEd1a,Neem Tree,Azadirachta indica,19.30473145,76.49501558,41,23,10_50,18,Good,Ward 4,Pravin More,Good
66,4,W41709517072901-akK0O,Palm tree,Arecaceae,19.30453653,76.49517417,49,28,5_10,22,Good,Ward 4,Pravin More,Good
67,4,W41709517074063-akK0O,Palm tree,Arecaceae,19.30454064,76.49514265,51,29,5_10,23,Good,Ward 4,Pravin More,Good
68,4,W41709517078219-akK0O,Palm tree,Arecaceae,19.30453463,76.4951098,58,33,5_10,26,Good,Ward 4,Pravin More,Good
69,4,W41709517081850-akK0O,Palm tree,Arecaceae,19.30455109,76.49508633,59,34,5_10,26,Good,Ward 4,Pravin More,Good
70,4,W41709517082946-akK0O,Palm tree,Arecaceae,19.30455425,76.49505448,50,29,5_10,22,Good,Ward 4,Pravin More,Good
71,4,W41709517104866-akK0O,Palm tree,Arecaceae,19.3047941,76.49509337,58,33,5_10,26,Good,Ward 4,Pravin More,Good
72,4,W41709517105779-akK0O,Palm tree,Arecaceae,19.30478398,76.4951326,65,37,5_10,29,Good,Ward 4,Pravin More,Good
73,4,W41709517106678-akK0O,Palm tree,Arecaceae,19.30478144,76.49517786,62,35,5_10,28,Good,Ward 4,Pravin More,Good
74,4,W41709517107562-akK0O,Palm tree,Arecaceae,19.30477796,76.49522614,65,37,5_10,29,Good,Ward 4,Pravin More,Good
75,4,W41709517109114-akK0O,Palm tree,Arecaceae,19.30477385,76.4952771,58,33,5_10,26,Good,Ward 4,Pravin More,Good
76,4,W41709517163780-akK0O,Coconut Tree,Cocos nucifera,19.30477005,76.49531063,52,30,5_10,23,Good,Ward 4,Pravin More,Good
77,4,W41709517164910-akK0O,Coconut Tree,Cocos nucifera,19.30475961,76.49533711,49,28,5_10,22,Good,Ward 4,Pravin More,Good
78,4,W41709517167720-akK0O,Coconut Tree,Cocos nucifera,19.30475835,76.49540182,45,26,5_10,20,Good,Ward 4,Pravin More,Good
79,4,W41709517170583-akK0O,Coconut Tree,Cocos nucifera,19.30474695,76.49545748,57,33,5_10,26,Good,Ward 4,Pravin More,Good
80,4,W41709517171380-akK0O,Coconut Tree,Cocos nucifera,19.30474695,76.4955014,54,31,5_10,24,Good,Ward 4,Pravin More,Good
81,4,W41709517172799-akK0O,Coconut Tree,Cocos nucifera,19.30474727,76.49554767,62,35,5_10,28,Good,Ward 4,Pravin More,Good
82,4,W41709517173619-akK0O,Coconut Tree,Cocos nucifera,19.30474189,76.49558388,74,42,5_10,33,Good,Ward 4,Pravin More,Good
83,4,W41709517174521-akK0O,Coconut Tree,Cocos nucifera,19.30474411,76.49562277,72,41,5_10,32,Good,Ward 4,Pravin More,Good
84,4,W41709517176002-akK0O,Coconut Tree,Cocos nucifera,19.30474917,76.4956801,52,30,5_10,23,Good,Ward 4,Pravin More,Good
85,4,W41709517177130-akK0O,Coconut Tree,Cocos nucifera,19.3047343,76.49571631,65,37,5_10,29,Good,Ward 4,Pravin More,Good
86,4,W41709517193565-akK0O,Coconut Tree,Cocos nucifera,19.30486308,76.49559863,62,35,5_10,28,Good,Ward 4,Pravin More,Good
87,4,W41709517208442-akK0O,Tamarind Tree,Tamarindus indica,19.30444508,76.49552252,48,27,10_50,22,Good,Ward 4,Pravin More,Good
88,4,W41709517210013-akK0O,Tamarind Tree,Tamarindus indica,19.30445046,76.49541993,41,23,10_50,18,Good,Ward 4,Pravin More,Good
89,4,W41709517227845-akK0O,Coconut Tree,Cocos nucifera,19.3047941,76.49481241,49,28,10_50,22,Good,Ward 4,Pravin More,Good
90,4,W41709517229118-akK0O,Coconut Tree,Cocos nucifera,19.30485865,76.49482481,65,37,10_50,29,Good,Ward 4,Pravin More,Good
91,4,W41709517232193-akK0O,Coconut Tree,Cocos nucifera,19.30437167,76.49502665,62,35,10_50,28,Good,Ward 4,Pravin More,Good
92,4,W41709517245947-akK0O,Coconut Tree,Cocos nucifera,19.30419416,76.49413951,45,26,10_50,20,Good,Ward 4,Pravin More,Good
93,4,W41709549429620-akK0O,Coconut Tree,Cocos nucifera,19.30384198,76.49493914,57,33,10_50,26,Good,Ward 4,Pravin More,Good
94,4,W41709549433631-akK0O,Coconut Tree,Cocos nucifera,19.30387267,76.49490561,54,31,10_50,24,Good,Ward 4,Pravin More,Good
95,4,W41709549434479-akK0O,Coconut Tree,Cocos nucifera,19.30386571,76.49485197,62,35,10_50,28,Good,Ward 4,Pravin More,Good
96,4,W41709549449794-akK0O,Coconut Tree,Cocos nucifera,19.30367649,76.49387531,74,42,10_50,33,Good,Ward 4,Pravin More,Good
97,4,W41709549458309-akK0O,Coconut Tree,Cocos nucifera,19.30291864,76.49453949,72,41,10_50,32,Good,Ward 4,Pravin More,Good
98,4,W41709549488046-akK0O,Coconut Tree,Cocos nucifera,19.30247026,76.49160415,52,30,10_50,23,Good,Ward 4,Pravin More,Good
99,4,W41709549488762-akK0O,Coconut Tree,Cocos nucifera,19.3025057,76.49148613,65,37,10_50,29,Good,Ward 4,Pravin More,Good
100,4,W41709549489410-akK0O,Coconut Tree,Cocos nucifera,19.30250792,76.49138555,62,35,10_50,28,Good,Ward 4,Pravin More,Good
101,4,W41709549490275-akK0O,Coconut Tree,Cocos nucifera,19.30254178,76.49129737,62,35,10_50,28,Good,Ward 4,Pravin More,Good
102,4,W41709549492109-akK0O,Coconut Tree,Cocos nucifera,19.30265189,76.49131749,53,30,10_50,24,Good,Ward 4,Pravin More,Good
103,4,W41709549492680-akK0O,Coconut Tree,Cocos nucifera,19.30272942,76.49132822,47,27,10_50,21,Good,Ward 4,Pravin More,Good
104,4,W41709549516747-akK0O,Coconut Tree,Cocos nucifera,19.30629553,76.49551481,48,27,10_50,22,Good,Ward 4,Pravin More,Good
105,4,W41709549517590-akK0O,Coconut Tree,Cocos nucifera,19.3064164,76.49575152,41,23,10_50,18,Good,Ward 4,Pravin More,Good
106,4,W41709549521648-akK0O,Coconut Tree,Cocos nucifera,19.30681794,76.49516981,49,28,10_50,22,Good,Ward 4,Pravin More,Good
107,4,W41709549524808-akK0O,Coconut Tree,Cocos nucifera,19.30740174,76.4954273,51,29,10_50,23,Good,Ward 4,Pravin More,Good
108,4,W41709549540421-akK0O,Coconut Tree,Cocos nucifera,19.30649677,76.49417069,58,33,10_50,26,Good,Ward 4,Pravin More,Good
109,4,W41709549708985-akK0O,Mango Tree,Mangifera indica,19.30432263,76.49544306,25,14,2_5,11,Good,Ward 4,Pravin More,Good
110,4,W41709549711730-akK0O,Mango Tree,Mangifera indica,19.3042777,76.49544206,26,15,2_5,12,Good,Ward 4,Pravin More,Good
111,4,W41709549713901-akK0O,Mango Tree,Mangifera indica,19.30426219,76.49549905,27,15,2_5,12,Good,Ward 4,Pravin More,Good
112,4,W41709549726877-akK0O,Chiku Tree ,Manilkara zapota,19.30430396,76.49552219,24,14,2_5,11,Good,Ward 4,Pravin More,Good
113,4,W41709549886308-akK0O,Ashoka Tree,Saraca asoca,19.30355181,76.49550609,26,15,2_5,12,Good,Ward 4,Pravin More,Good
114,4,W41709549895356-akK0O,Palm tree,Arecaceae,19.30356669,76.49545547,28,16,2_5,13,Good,Ward 4,Pravin More,Good
115,4,W41709549923997-akK0O,Ashoka Tree,Saraca asoca,19.30357776,76.49542496,27,15,2_5,12,Good,Ward 4,Pravin More,Good
116,4,W41709549936078-akK0O,Ashoka Tree,Saraca asoca,19.30360402,76.49538103,24,14,2_5,11,Good,Ward 4,Pravin More,Good
117,4,W41709549940695-akK0O,Ashoka Tree,Saraca asoca,19.30362206,76.49533041,26,15,2_5,12,Good,Ward 4,Pravin More,Good
118,4,W41709549941399-akK0O,Ashoka Tree,Saraca asoca,19.30363345,76.49527106,28,16,2_5,13,Good,Ward 4,Pravin More,Good
119,4,W41709549944582-akK0O,Ashoka Tree,Saraca asoca,19.30365085,76.49521876,29,17,2_5,13,Good,Ward 4,Pravin More,Good
120,4,W41709549945346-akK0O,Ashoka Tree,Saraca asoca,19.30366414,76.49517484,26,15,2_5,12,Good,Ward 4,Pravin More,Good
121,4,W41709549946981-akK0O,Ashoka Tree,Saraca asoca,19.30369199,76.49510946,24,14,2_5,11,Good,Ward 4,Pravin More,Good
122,4,W41709549947687-akK0O,Ashoka Tree,Saraca asoca,19.30370401,76.49506621,23,13,2_5,10,Good,Ward 4,Pravin More,Good
123,4,W41709549988706-akK0O,Ashoka Tree,Saraca asoca,19.30368218,76.49533074,31,18,2_5,14,Good,Ward 4,Pravin More,Good
124,4,W41709549989384-akK0O,Ashoka Tree,Saraca asoca,19.30365275,76.49536997,30,17,2_5,13,Good,Ward 4,Pravin More,Good
125,4,W41709549993506-akK0O,Ashoka Tree,Saraca asoca,19.30370813,76.49523351,36,21,2_5,16,Good,Ward 4,Pravin More,Good
126,4,W41709550001337-akK0O,Ashoka Tree,Saraca asoca,19.30372996,76.49515674,35,20,2_5,16,Good,Ward 4,Pravin More,Good
127,4,W41709550002350-akK0O,Ashoka Tree,Saraca asoca,19.303723,76.4951792,32,18,2_5,14,Good,Ward 4,Pravin More,Good
128,4,W41709550021322-akK0O,Ashoka Tree,Saraca asoca,19.30372965,76.49499077,20,11,2_5,9,Good,Ward 4,Pravin More,Good
129,4,W41709550035380-akK0O,saptaparni tree,Alstonia scholaris,19.30374958,76.49494082,29,17,2_5,13,Good,Ward 4,Pravin More,Good
130,4,W41709550038433-akK0O,saptaparni tree,Alstonia scholaris,19.30375876,76.49487846,27,15,2_5,12,Good,Ward 4,Pravin More,Good
131,4,W41709550039346-akK0O,saptaparni tree,Alstonia scholaris,19.30377774,76.49481576,21,12,2_5,9,Good,Ward 4,Pravin More,Good
132,4,W41709550040960-akK0O,saptaparni tree,Alstonia scholaris,19.30380147,76.49475072,20,11,2_5,9,Good,Ward 4,Pravin More,Good
133,4,W41709550042566-akK0O,saptaparni tree,Alstonia scholaris,19.30381919,76.49470177,26,15,2_5,12,Good,Ward 4,Pravin More,Good
134,4,W41709550062794-akK0O,Ashoka Tree,Saraca asoca,19.30381097,76.49494115,19,11,2_5,9,Good,Ward 4,Pravin More,Good
135,4,W41709550073997-akK0O,Ashoka Tree,Saraca asoca,19.303829,76.49491299,18,10,2_5,8,Good,Ward 4,Pravin More,Good
136,4,W41709550078936-akK0O,Ashoka Tree,Saraca asoca,19.3038309,76.49489187,17,10,2_5,8,Good,Ward 4,Pravin More,Good
137,4,W41709550083903-akK0O,Ashoka Tree,Saraca asoca,19.30383818,76.49485532,15,9,2_5,7,Good,Ward 4,Pravin More,Good
138,4,W41709550084811-akK0O,Ashoka Tree,Saraca asoca,19.30384894,76.49482783,18,10,2_5,8,Good,Ward 4,Pravin More,Good
139,4,W41709550112489-akK0O,Netted custard apple,Annona reticulata,19.30389419,76.49487175,53,30,5_10,24,Good,Ward 4,Pravin More,Good
140,4,W41709550328803-akK0O,Pichkari Tree,Spathodea campanulata,19.30382109,76.49462465,47,27,5_10,21,Good,Ward 4,Pravin More,Good
141,4,W41709550329586-akK0O,Pichkari Tree,Spathodea campanulata,19.30384324,76.4946555,48,27,5_10,22,Good,Ward 4,Pravin More,Good
142,4,W41709550333846-akK0O,Pichkari Tree,Spathodea campanulata,19.30393184,76.49461526,41,23,5_10,18,Good,Ward 4,Pravin More,Good
143,4,W41709550387012-akK0O,Ashoka Tree,Saraca asoca,19.30392551,76.4946612,14,8,2_5,6,Good,Ward 4,Pravin More,Good
144,4,W41709550387597-akK0O,Ashoka Tree,Saraca asoca,19.30390463,76.49470143,51,29,2_5,23,Good,Ward 4,Pravin More,Good
145,4,W41709550395178-akK0O,Ashoka Tree,Saraca asoca,19.30386033,76.49478123,58,33,2_5,26,Good,Ward 4,Pravin More,Good
146,4,W41709550417145-akK0O,Neem Tree,Azadirachta indica,19.3036844,76.49456363,58,33,10_50,26,Good,Ward 4,Pravin More,Good
147,4,W41709550421030-akK0O,Neem Tree,Azadirachta indica,19.30375876,76.49437487,65,37,10_50,29,Good,Ward 4,Pravin More,Good
148,4,W41709550428322-akK0O,Neem Tree,Azadirachta indica,19.30352144,76.49400271,45,26,10_50,20,Good,Ward 4,Pravin More,Good
149,4,W41709550434470-akK0O,Neem Tree,Azadirachta indica,19.30406221,76.49504609,57,33,10_50,26,Good,Ward 4,Pravin More,Good
150,4,W41709550434892-akK0O,Neem Tree,Azadirachta indica,19.30404417,76.49511449,54,31,10_50,24,Good,Ward 4,Pravin More,Good
151,4,W41709550440994-akK0O,Neem Tree,Azadirachta indica,19.30395842,76.49548564,52,30,10_50,23,Good,Ward 4,Pravin More,Good
152,4,W41709550441485-akK0O,Neem Tree,Azadirachta indica,19.30395874,76.49555102,53,30,10_50,24,Good,Ward 4,Pravin More,Good
153,4,W41709550494026-akK0O,Karanja Tree,Milletia Pinnata,19.30394925,76.4945643,47,27,2_5,21,Good,Ward 4,Pravin More,Good
154,4,W41709550517824-akK0O,Subabul Tree,Leucaena leucocephala,19.3038616,76.49452943,48,27,2_5,22,Good,Ward 4,Pravin More,Good
155,4,W41709550519747-akK0O,Subabul Tree,Leucaena leucocephala,19.30385463,76.4944426,49,28,2_5,22,Good,Ward 4,Pravin More,Good
156,4,W41709550522039-akK0O,Subabul Tree,Leucaena leucocephala,19.30379325,76.49441846,51,29,2_5,23,Good,Ward 4,Pravin More,Good
157,4,W41709550541915-akK0O,Pichkari Tree,Spathodea campanulata,19.30392836,76.49444796,58,33,5_10,26,Good,Ward 4,Pravin More,Good
158,4,W41709550544746-akK0O,Pichkari Tree,Spathodea campanulata,19.30394576,76.49437889,59,34,5_10,26,Good,Ward 4,Pravin More,Good
159,4,W41709550567111-akK0O,Conocarpus Tree,Combretaceae,19.30397551,76.49447612,50,29,5_10,22,Good,Ward 4,Pravin More,Good
160,4,W41709550569672-akK0O,Conocarpus Tree,Combretaceae,19.30401032,76.49439197,58,33,5_10,26,Good,Ward 4,Pravin More,Good
161,4,W41709550579803-akK0O,Conocarpus Tree,Combretaceae,19.30401728,76.49436414,65,37,5_10,29,Good,Ward 4,Pravin More,Good
162,4,W41709550618360-akK0O,Gulmohar Tree,Delonix regia,19.30391475,76.4944768,62,35,5_10,28,Good,Ward 4,Pravin More,Good
163,4,W41709550637392-akK0O,Ashoka Tree,Saraca asoca,19.30400177,76.49442617,65,37,2_5,29,Good,Ward 4,Pravin More,Good
164,4,W41709550679949-akK0O,Burflower-tree,Neolamarckia cadamba,19.3039812,76.49425182,58,33,2_5,26,Good,Ward 4,Pravin More,Good
165,4,W41709550683734-akK0O,Burflower-tree,Neolamarckia cadamba,19.30401886,76.49415962,52,30,2_5,23,Good,Ward 4,Pravin More,Good
166,4,W41709550699172-akK0O,Drumstick Tree,Moringa oleifera,19.3040024,76.4941841,49,28,2_5,22,Good,Ward 4,Pravin More,Good
167,4,W41709550723843-akK0O,Drumstick Tree,Moringa oleifera,19.30419005,76.49436448,45,26,5_10,20,Good,Ward 4,Pravin More,Good
168,4,W41709550746128-akK0O,Guava Tree,Psidium guajava,19.30403183,76.49413045,72,41,2_5,32,Good,Ward 4,Pravin More,Good
169,4,W41709550778139-akK0O,Burflower-tree,Neolamarckia cadamba,19.30409005,76.49399534,52,30,5_10,23,Good,Ward 4,Pravin More,Good
170,4,W41709550817462-akK0O,Netted custard apple,Annona reticulata,19.30394418,76.49399165,62,35,5_10,28,Good,Ward 4,Pravin More,Good
171,4,W41709550833968-akK0O,Subabul Tree,Leucaena leucocephala,19.30393817,76.49387397,53,30,5_10,24,Good,Ward 4,Pravin More,Good
172,4,W41709550835846-akK0O,Subabul Tree,Leucaena leucocephala,19.30387615,76.49391823,47,27,5_10,21,Good,Ward 4,Pravin More,Good
173,4,W41709550872812-akK0O,Conocarpus Tree,Combretaceae,19.30412012,76.49391487,48,27,2_5,22,Good,Ward 4,Pravin More,Good
174,4,W41709550890175-akK0O,Conocarpus Tree,Combretaceae,19.30412708,76.49388604,41,23,2_5,18,Good,Ward 4,Pravin More,Good
175,4,W41709550897609-akK0O,Conocarpus Tree,Combretaceae,19.30412771,76.49385419,49,28,2_5,22,Good,Ward 4,Pravin More,Good
176,4,W41709550912618-akK0O,Gulmohar Tree,Delonix regia,19.30414258,76.49378411,51,29,2_5,23,Good,Ward 4,Pravin More,Good
177,4,W41709550924782-akK0O,Karanja Tree,Milletia Pinnata,19.30434984,76.49381295,58,33,2_5,26,Good,Ward 4,Pravin More,Good
178,4,W41709550926208-akK0O,Karanja Tree,Milletia Pinnata,19.30415777,76.49395879,59,34,2_5,26,Good,Ward 4,Pravin More,Good
179,4,W41709550962922-akK0O,Gulmohar Tree,Delonix regia,19.30419448,76.49382971,50,29,10_50,22,Good,Ward 4,Pravin More,Good
180,4,W41709550967224-akK0O,Gulmohar Tree,Delonix regia,19.30421852,76.49375025,58,33,10_50,26,Good,Ward 4,Pravin More,Good
181,4,W41709550968570-akK0O,Gulmohar Tree,Delonix regia,19.30423783,76.49367917,65,37,10_50,29,Good,Ward 4,Pravin More,Good
182,4,W41709550969857-akK0O,Gulmohar Tree,Delonix regia,19.30425934,76.49359468,58,33,10_50,26,Good,Ward 4,Pravin More,Good
183,4,W41709550975267-akK0O,Gulmohar Tree,Delonix regia,19.3042875,76.4934827,52,30,10_50,23,Good,Ward 4,Pravin More,Good
184,4,W41709550976789-akK0O,Gulmohar Tree,Delonix regia,19.3043201,76.49339151,49,28,10_50,22,Good,Ward 4,Pravin More,Good
185,4,W41709551008867-akK0O,Pichkari Tree,Spathodea campanulata,19.30415935,76.4937003,45,26,10_50,20,Good,Ward 4,Pravin More,Good
186,4,W41709551009635-akK0O,Pichkari Tree,Spathodea campanulata,19.3041891,76.49366274,57,33,10_50,26,Good,Ward 4,Pravin More,Good
187,4,W41709551010528-akK0O,Pichkari Tree,Spathodea campanulata,19.30419606,76.49360374,54,31,10_50,24,Good,Ward 4,Pravin More,Good
188,4,W41709551012387-akK0O,Pichkari Tree,Spathodea campanulata,19.30416948,76.49354104,62,35,10_50,28,Good,Ward 4,Pravin More,Good
189,4,W41709551013051-akK0O,Pichkari Tree,Spathodea campanulata,19.30419416,76.4934874,74,42,10_50,33,Good,Ward 4,Pravin More,Good
